Layer,Month,Year,Date,Tile_item_id,Tile_Name,Tile_URL,FC_item_id,FC_Name,FC_URL
US Vessel Traffic 2015 01,01,2015,2015_01,f05e886d339f49f5ab7589158b862326,US_Vessel_Traffic_2015_01_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_01_optimized/VectorTileServer,05dc89d63524430bafbf95609f003b5c,US_Vessel_Traffic_2015_01_creds,https://utility.arcgis.com/usrsvcs/servers/05dc89d63524430bafbf95609f003b5c/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/0
US Vessel Traffic 2015 02,02,2015,2015_02,25f601a39622489cbab8a61ef25c6fc3,US_Vessel_Traffic_2015_02_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_02_optimized/VectorTileServer,1f469ee3c56948d2b2458ff51ff4ea63,US_Vessel_Traffic_2015_02_creds,https://utility.arcgis.com/usrsvcs/servers/1f469ee3c56948d2b2458ff51ff4ea63/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/1
US Vessel Traffic 2015 03,03,2015,2015_03,d6258af016414dbab977e0d12981575c,US_Vessel_Traffic_2015_03_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_03_optimized/VectorTileServer,c6786fa1726d46748afcffede87cfa0b,US_Vessel_Traffic_2015_03_creds,https://utility.arcgis.com/usrsvcs/servers/c6786fa1726d46748afcffede87cfa0b/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/2
US Vessel Traffic 2015 04,04,2015,2015_04,fdc6c1399f2f4a9992bbb32d30044f2f,US_Vessel_Traffic_2015_04_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_04_optimized/VectorTileServer,21857f00907c4ee79b3ad5da18993f0c,US_Vessel_Traffic_2015_04_creds,https://utility.arcgis.com/usrsvcs/servers/21857f00907c4ee79b3ad5da18993f0c/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/3
US Vessel Traffic 2015 05,05,2015,2015_05,72ce81d0730e4549bfbfd49ad9d054cb,US_Vessel_Traffic_2015_05_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_05_optimized/VectorTileServer,7df4e23a4452402396d7df41a8581613,US_Vessel_Traffic_2015_05_creds,https://utility.arcgis.com/usrsvcs/servers/7df4e23a4452402396d7df41a8581613/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/4
US Vessel Traffic 2015 06,06,2015,2015_06,dd3f7dcb3a504d04ba79ae4e16869c3c,US_Vessel_Traffic_2015_06_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_06_optimized/VectorTileServer,c4c8fc15d21e4c95be3adece4a357551,US_Vessel_Traffic_2015_06_creds,https://utility.arcgis.com/usrsvcs/servers/c4c8fc15d21e4c95be3adece4a357551/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/5
US Vessel Traffic 2015 07,07,2015,2015_07,a9cbbf202115431bb3f6b5ae54cd9ecc,US_Vessel_Traffic_2015_07_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_07_optimized/VectorTileServer,22200bfd038d4b8883c6f41f3382b813,US_Vessel_Traffic_2015_07_creds,https://utility.arcgis.com/usrsvcs/servers/22200bfd038d4b8883c6f41f3382b813/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/6
US Vessel Traffic 2015 08,08,2015,2015_08,f718db8b232b4001a4a1d517f2b500ba,US_Vessel_Traffic_2015_08_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_08_optimized/VectorTileServer,73098f9e90cb4922a8c1b6f2eaaaa089,US_Vessel_Traffic_2015_08_creds,https://utility.arcgis.com/usrsvcs/servers/73098f9e90cb4922a8c1b6f2eaaaa089/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/7
US Vessel Traffic 2015 09,09,2015,2015_09,21be42f6de4943bca31637a9922e2133,US_Vessel_Traffic_2015_09_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_09_optimized/VectorTileServer,593609575e624dfd85639d6dbeb5cd76,US_Vessel_Traffic_2015_09_creds,https://utility.arcgis.com/usrsvcs/servers/593609575e624dfd85639d6dbeb5cd76/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/8
US Vessel Traffic 2015 10,10,2015,2015_10,5445307a60c34f879e0a914cbc8cd96f,US_Vessel_Traffic_2015_10_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2015_10_optimized/VectorTileServer,476e3d59122f4760b27f5e64c90d18ad,US_Vessel_Traffic_2015_10_creds,https://utility.arcgis.com/usrsvcs/servers/476e3d59122f4760b27f5e64c90d18ad/rest/services/AIS/2015_US_Vessel_Traffic/FeatureServer/9
